rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,id,subj,source_file
48666,,"{""natural"":""5"",""mobile"":""6"",""manipulability"":""4"",""volition"":""5"",""sentient"":""5"",""potent"":""6"",""instigation"":""5""}",survey-html-form,10,2.1.0,878662,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,4.0,human,0c9wyq2180.csv
44344,,"{""natural"":""3"",""mobile"":""4"",""manipulability"":""4"",""volition"":""4"",""sentient"":""3"",""potent"":""3"",""instigation"":""5""}",survey-html-form,11,2.1.0,923006,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,1.0,instrument,0c9wyq2180.csv
25927,,"{""natural"":""5"",""mobile"":""6"",""manipulability"":""5"",""volition"":""2"",""sentient"":""2"",""potent"":""4"",""instigation"":""3""}",survey-html-form,12,2.1.0,948933,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,11.0,instrument,0c9wyq2180.csv
27458,,"{""natural"":""5"",""mobile"":""4"",""manipulability"":""5"",""volition"":""4"",""sentient"":""3"",""potent"":""3"",""instigation"":""5""}",survey-html-form,13,2.1.0,976391,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,25.0,instrument,0c9wyq2180.csv
164456,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""5"",""sentient"":""6"",""potent"":""6"",""instigation"":""6""}",survey-html-form,14,2.1.0,1140842,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,16.0,human,0c9wyq2180.csv
26813,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""6"",""sentient"":""6"",""potent"":""6"",""instigation"":""5""}",survey-html-form,15,2.1.0,1167655,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,14.0,human,0c9wyq2180.csv
43786,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""6"",""volition"":""6"",""sentient"":""5"",""potent"":""6"",""instigation"":""6""}",survey-html-form,16,2.1.0,1211441,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,6.0,human,0c9wyq2180.csv
67525,,"{""natural"":""5"",""mobile"":""5"",""manipulability"":""5"",""volition"":""3"",""sentient"":""4"",""potent"":""2"",""instigation"":""5""}",survey-html-form,17,2.1.0,1278965,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,9.0,instrument,0c9wyq2180.csv
87655,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""5"",""sentient"":""4"",""potent"":""5"",""instigation"":""6""}",survey-html-form,18,2.1.0,1366618,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,10.0,human,0c9wyq2180.csv
19171,,"{""natural"":""3"",""mobile"":""5"",""manipulability"":""5"",""volition"":""4"",""sentient"":""4"",""potent"":""4"",""instigation"":""4""}",survey-html-form,19,2.1.0,1385789,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,17.0,instrument,0c9wyq2180.csv
13470,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""5"",""sentient"":""5"",""potent"":""6"",""instigation"":""6""}",survey-html-form,20,2.1.0,1399259,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,2.0,human,0c9wyq2180.csv
17105,,"{""natural"":""3"",""mobile"":""6"",""manipulability"":""5"",""volition"":""4"",""sentient"":""4"",""potent"":""5"",""instigation"":""5""}",survey-html-form,21,2.1.0,1416365,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,15.0,instrument,0c9wyq2180.csv
28049,,"{""natural"":""4"",""mobile"":""6"",""manipulability"":""5"",""volition"":""4"",""sentient"":""4"",""potent"":""4"",""instigation"":""6""}",survey-html-form,22,2.1.0,1444414,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,13.0,instrument,0c9wyq2180.csv
17659,,"{""natural"":""5"",""mobile"":""5"",""manipulability"":""5"",""volition"":""3"",""sentient"":""3"",""potent"":""3"",""instigation"":""2""}",survey-html-form,23,2.1.0,1462073,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,19.0,instrument,0c9wyq2180.csv
13397,,"{""natural"":""5"",""mobile"":""5"",""manipulability"":""6"",""volition"":""3"",""sentient"":""3"",""potent"":""3"",""instigation"":""2""}",survey-html-form,24,2.1.0,1475471,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,3.0,instrument,0c9wyq2180.csv
17691,,"{""natural"":""3"",""mobile"":""5"",""manipulability"":""5"",""volition"":""3"",""sentient"":""2"",""potent"":""2"",""instigation"":""2""}",survey-html-form,25,2.1.0,1493162,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,7.0,instrument,0c9wyq2180.csv
20444,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""6"",""sentient"":""6"",""potent"":""4"",""instigation"":""6""}",survey-html-form,26,2.1.0,1513607,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,26.0,human,0c9wyq2180.csv
26228,,"{""natural"":""6"",""mobile"":""5"",""manipulability"":""4"",""volition"":""5"",""sentient"":""6"",""potent"":""5"",""instigation"":""6""}",survey-html-form,27,2.1.0,1539835,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,18.0,human,0c9wyq2180.csv
3467,"
    <div class=""gen_ins""; style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>You have completed the rating trials. Next, you will be directed to an optional survey.</p>
        <p>Please answer any of the questions on the next page that you are comfortable answering. After seeing the survey, you will be able to end the experiment.</p>
        <p>Click ‘Continue’ to proceed to the survey.</p>
    </div>
    ",0,html-button-response,28,2.1.0,1543303,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,,,0c9wyq2180.csv
30214,,"{""understood"":true,""age"":42,""gender"":""Female"",""ethnicity"":""caucasian"",""languages"":""English"",""topic"":""I have no idea."",""enjoy"":""Average study"",""payment"":""The payment was fair"",""question1"":null,""comments"":null}",survey,29,3.0.0,1573632,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,,,0c9wyq2180.csv
2788,"
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study on language perception. Its purpose is to help us understand what factors influence sentence construction. In the study, you will read a list of sentences and use rating scales to experess your opinions about the events described by each sentence. Following this, you will have the opportunity to complete an optional demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 15 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188 or grcbrown@stanford.edu. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu.</p> 
            <p>Please save or print a copy of this page for your records</p>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>
    ",0,html-button-response,0,2.1.0,2808,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,,,4dm37hv7qg.csv
8623,"
    <div class=""gen_ins""; style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>During this study, you will see a series of sentences, presented one-by-one. Each sentence will describe an event. It will be followed by 7 statements. You must indicate on a scale how much you agree with each statement. Click along the rating scales to respond. There are a total of 26 trials, and this portion of the study is expected to take 15 minutes.</p>
        <p>After you complete this task, you will have the opportunity to complete an optional survey.</p>
        <p>If you understand the instructions and are ready to begin, click ‘Continue’.</p>
    </div>
    ",0,html-button-response,1,2.1.0,11435,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,,,4dm37hv7qg.csv
26465,,"{""natural"":""2"",""mobile"":""6"",""manipulability"":""6"",""volition"":""6"",""sentient"":""4"",""potent"":""6"",""instigation"":""6""}",survey-html-form,2,2.1.0,37912,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,15.0,instrument,4dm37hv7qg.csv
25479,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""2""}",survey-html-form,3,2.1.0,63399,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,24.0,human,4dm37hv7qg.csv
20116,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""2""}",survey-html-form,4,2.1.0,83521,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,20.0,human,4dm37hv7qg.csv
20321,,"{""natural"":""2"",""mobile"":""6"",""manipulability"":""6"",""volition"":""6"",""sentient"":""6"",""potent"":""6"",""instigation"":""6""}",survey-html-form,5,2.1.0,103849,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,19.0,instrument,4dm37hv7qg.csv
23638,,"{""natural"":""2"",""mobile"":""6"",""manipulability"":""6"",""volition"":""6"",""sentient"":""6"",""potent"":""6"",""instigation"":""6""}",survey-html-form,6,2.1.0,127494,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,11.0,instrument,4dm37hv7qg.csv
13189,,"{""natural"":""2"",""mobile"":""6"",""manipulability"":""6"",""volition"":""6"",""sentient"":""6"",""potent"":""6"",""instigation"":""6""}",survey-html-form,7,2.1.0,140689,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,21.0,instrument,4dm37hv7qg.csv
24400,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""2""}",survey-html-form,8,2.1.0,165095,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,8.0,human,4dm37hv7qg.csv
29205,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,9,2.1.0,194305,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,2.0,human,4dm37hv7qg.csv
19256,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,10,2.1.0,213568,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,12.0,human,4dm37hv7qg.csv
9921,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,11,2.1.0,223495,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,4.0,human,4dm37hv7qg.csv
25345,,"{""natural"":""2"",""mobile"":""6"",""manipulability"":""6"",""volition"":""2"",""sentient"":""2"",""potent"":""2"",""instigation"":""6""}",survey-html-form,12,2.1.0,248846,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,25.0,instrument,4dm37hv7qg.csv
15019,,"{""natural"":""2"",""mobile"":""6"",""manipulability"":""6"",""volition"":""6"",""sentient"":""6"",""potent"":""6"",""instigation"":""6""}",survey-html-form,13,2.1.0,263871,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,13.0,instrument,4dm37hv7qg.csv
34313,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""2"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""2""}",survey-html-form,14,2.1.0,298190,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,6.0,human,4dm37hv7qg.csv
19796,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""2"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,15,2.1.0,317991,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,22.0,human,4dm37hv7qg.csv
14684,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,16,2.1.0,332681,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,26.0,human,4dm37hv7qg.csv
14116,,"{""natural"":""2"",""mobile"":""6"",""manipulability"":""6"",""volition"":""6"",""sentient"":""6"",""potent"":""6"",""instigation"":""6""}",survey-html-form,17,2.1.0,346803,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,1.0,instrument,4dm37hv7qg.csv
21395,,"{""natural"":""6"",""mobile"":""2"",""manipulability"":""6"",""volition"":""2"",""sentient"":""2"",""potent"":""2"",""instigation"":""6""}",survey-html-form,18,2.1.0,368203,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,9.0,instrument,4dm37hv7qg.csv
23490,,"{""natural"":""6"",""mobile"":""2"",""manipulability"":""6"",""volition"":""2"",""sentient"":""2"",""potent"":""6"",""instigation"":""6""}",survey-html-form,19,2.1.0,391698,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,23.0,instrument,4dm37hv7qg.csv
13765,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""2"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,20,2.1.0,405470,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,16.0,human,4dm37hv7qg.csv
25797,,"{""natural"":""2"",""mobile"":""2"",""manipulability"":""6"",""volition"":""2"",""sentient"":""2"",""potent"":""2"",""instigation"":""6""}",survey-html-form,21,2.1.0,431274,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,3.0,instrument,4dm37hv7qg.csv
17395,,"{""natural"":""2"",""mobile"":""2"",""manipulability"":""6"",""volition"":""2"",""sentient"":""2"",""potent"":""2"",""instigation"":""6""}",survey-html-form,22,2.1.0,448675,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,5.0,instrument,4dm37hv7qg.csv
15403,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""2"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,23,2.1.0,464084,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,18.0,human,4dm37hv7qg.csv
13030,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,24,2.1.0,477119,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,14.0,human,4dm37hv7qg.csv
13465,,"{""natural"":""2"",""mobile"":""2"",""manipulability"":""6"",""volition"":""2"",""sentient"":""2"",""potent"":""2"",""instigation"":""2""}",survey-html-form,25,2.1.0,490589,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,7.0,instrument,4dm37hv7qg.csv
13854,,"{""natural"":""2"",""mobile"":""2"",""manipulability"":""2"",""volition"":""2"",""sentient"":""2"",""potent"":""2"",""instigation"":""2""}",survey-html-form,26,2.1.0,504449,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,17.0,instrument,4dm37hv7qg.csv
13625,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""7"",""potent"":""7"",""instigation"":""7""}",survey-html-form,27,2.1.0,518080,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,10.0,human,4dm37hv7qg.csv
2927,"
    <div class=""gen_ins""; style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>You have completed the rating trials. Next, you will be directed to an optional survey.</p>
        <p>Please answer any of the questions on the next page that you are comfortable answering. After seeing the survey, you will be able to end the experiment.</p>
        <p>Click ‘Continue’ to proceed to the survey.</p>
    </div>
    ",0,html-button-response,28,2.1.0,521012,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,,,4dm37hv7qg.csv
60319,,"{""understood"":true,""age"":41,""gender"":""Male"",""ethnicity"":""African American"",""languages"":""English"",""topic"":""Sentences"",""enjoy"":""Better than average study"",""payment"":""The payment was fair"",""comments"":""n/a"",""question1"":null}",survey,29,3.0.0,581600,628fde22d960fa7a63fb231d,6980c7c83940647eb7aa7467,6980cd37357e3ecc98c01885,,,4dm37hv7qg.csv
6072,"
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study on language perception. Its purpose is to help us understand what factors influence sentence construction. In the study, you will read a list of sentences and use rating scales to experess your opinions about the events described by each sentence. Following this, you will have the opportunity to complete an optional demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 15 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188 or grcbrown@stanford.edu. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu.</p> 
            <p>Please save or print a copy of this page for your records</p>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>
    ",0,html-button-response,0,2.1.0,6086,6739e4d9335667b4852ccf4e,6980c7c83940647eb7aa7467,6980ceb9fcc2625799ee5ddb,,,6s7u8tzx8h.csv
198806,"
    <div class=""gen_ins""; style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>During this study, you will see a series of sentences, presented one-by-one. Each sentence will describe an event. It will be followed by 7 statements. You must indicate on a scale how much you agree with each statement. Click along the rating scales to respond. There are a total of 26 trials, and this portion of the study is expected to take 15 minutes.</p>
        <p>After you complete this task, you will have the opportunity to complete an optional survey.</p>
        <p>If you understand the instructions and are ready to begin, click ‘Continue’.</p>
    </div>
    ",0,html-button-response,1,2.1.0,204894,6739e4d9335667b4852ccf4e,6980c7c83940647eb7aa7467,6980ceb9fcc2625799ee5ddb,,,6s7u8tzx8h.csv
48302,,"{""natural"":""7"",""mobile"":""2"",""manipulability"":""5"",""volition"":""1"",""sentient"":""2"",""potent"":""1"",""instigation"":""2""}",survey-html-form,2,2.1.0,253200,6739e4d9335667b4852ccf4e,6980c7c83940647eb7aa7467,6980ceb9fcc2625799ee5ddb,18.0,instrument,6s7u8tzx8h.csv
50505,,"{""natural"":""7"",""mobile"":""6"",""manipulability"":""6"",""volition"":""2"",""sentient"":""1"",""potent"":""1"",""instigation"":""1""}",survey-html-form,3,2.1.0,303708,6739e4d9335667b4852ccf4e,6980c7c83940647eb7aa7467,6980ceb9fcc2625799ee5ddb,26.0,instrument,6s7u8tzx8h.csv
85084,,"{""natural"":""7"",""mobile"":""7"",""manipulability"":""7"",""volition"":""7"",""sentient"":""6"",""potent"":""6"",""instigation"":""5""}",survey-html-form,4,2.1.0,388794,6739e4d9335667b4852ccf4e,6980c7c83940647eb7aa7467,6980ceb9fcc2625799ee5ddb,25.0,human,6s7u8tzx8h.csv
116808,,"{""natural"":""6"",""mobile"":""2"",""manipulability"":""5"",""volition"":""1"",""sentient"":""1"",""potent"":""1"",""instigation"":""1""}",survey-html-form,5,2.1.0,505604,6739e4d9335667b4852ccf4e,6980c7c83940647eb7aa7467,6980ceb9fcc2625799ee5ddb,14.0,instrument,6s7u8tzx8h.csv
